City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
79,Avarua,-21.2078,-159.775,77.05,88,75,12.66,CK,broken clouds
80,Marsh Harbour,26.5412,-77.0636,75.02,72,85,12.88,BS,overcast clouds
81,Longyearbyen,78.2186,15.6401,19.24,63,40,19.57,SJ,scattered clouds
82,Bud,39.447,-86.1758,37.74,56,3,7.56,US,clear sky
83,Quatre Cocos,-20.2078,57.7625,79.09,82,80,11.36,MU,broken clouds
84,Alice Springs,-23.7,133.8833,62.15,82,0,4.61,AU,clear sky
85,Porosozero,62.7191,32.727,18.79,94,100,10.25,RU,overcast clouds
86,Victoria,22.2855,114.1577,61.32,84,100,7.0,HK,overcast clouds
87,Palmas,-10.2128,-48.3603,82.27,65,75,5.75,BR,broken clouds
88,Jamestown,42.097,-79.2353,33.53,29,0,13.8,US,clear sky
89,Ushuaia,-54.8,-68.3,60.46,59,75,17.27,AR,broken clouds
90,Pacific Grove,36.6177,-121.9166,62.46,55,0,1.01,US,clear sky
91,Cananeia,-25.0147,-47.9267,85.44,65,45,8.86,BR,light rain
92,Carnarvon,-24.8667,113.6333,74.17,69,21,23.78,AU,few clouds
93,New Norfolk,-42.7826,147.0587,52.72,73,34,1.86,AU,scattered clouds
94,Lebu,-37.6167,-73.65,66.9,62,0,13.85,CL,clear sky
95,Kloulklubed,7.0419,134.2556,79.3,83,100,21.92,PW,light rain
96,Turka,49.1541,23.0297,33.8,87,99,20.74,UA,overcast clouds
97,Suamico,44.6319,-88.0393,32.18,71,100,3.0,US,snow
98,Tasiilaq,65.6145,-37.6368,23.16,63,100,32.84,GL,overcast clouds
99,Batagay,67.6333,134.6333,-31.34,95,100,1.45,RU,overcast clouds
100,Provideniya,64.3833,-173.3,-4.76,82,0,5.41,RU,clear sky
101,Dauphin,51.1494,-100.0502,-2.06,71,0,4.61,CA,clear sky
102,Severo-Kurilsk,50.6789,156.125,30.24,80,100,14.99,RU,overcast clouds
103,Yellowknife,62.456,-114.3525,-7.58,87,75,12.66,CA,light snow
104,Praia Da Vitoria,38.7333,-27.0667,61.05,94,75,16.11,PT,broken clouds
105,San Patricio,28.017,-97.5169,62.55,62,1,5.23,US,clear sky
106,Tianpeng,30.9866,103.9393,36.07,95,72,0.92,CN,broken clouds
107,Khash,28.2211,61.2158,50.77,37,1,6.13,IR,clear sky
108,Umm Kaddadah,13.6017,26.6876,61.84,16,99,13.85,SD,overcast clouds
109,Dubovka,49.0583,44.829,27.55,96,100,6.76,RU,overcast clouds
110,Tigil,57.8,158.6667,4.17,85,56,5.57,RU,broken clouds
111,Mandali,33.7499,45.5541,51.94,38,5,7.9,IQ,clear sky
112,Bambous Virieux,-20.3428,57.7575,79.21,89,40,11.5,MU,scattered clouds
113,Kavaratti,10.5669,72.642,78.49,68,36,10.27,IN,scattered clouds
114,Khanskaya,44.677,39.9616,34.54,83,100,10.51,RU,overcast clouds
115,Esperance,-33.8667,121.9,62.44,77,32,28.52,AU,scattered clouds
116,Visim,57.6488,59.5014,12.85,96,100,8.16,RU,overcast clouds
117,Bria,6.5423,21.9863,79.12,18,99,2.8,CF,overcast clouds
118,Kawalu,-7.3817,108.2082,73.49,95,99,2.71,ID,overcast clouds
119,Ponta Do Sol,32.6667,-17.1,64.13,53,29,11.3,PT,scattered clouds
120,Touros,-5.1989,-35.4608,88.7,60,33,13.42,BR,scattered clouds
121,Jining,35.405,116.5814,34.75,29,100,3.06,CN,overcast clouds
122,Coquimbo,-29.9533,-71.3436,69.51,68,29,6.89,CL,scattered clouds
123,Sinnamary,5.3833,-52.95,82.24,73,94,9.22,GF,light rain
124,Saint-Augustin,51.226,-58.6502,-1.86,70,12,15.28,CA,few clouds
125,Byron Bay,-28.65,153.6167,67.05,78,97,15.43,AU,overcast clouds
126,Poum,-20.2333,164.0167,79.99,84,100,9.64,NC,overcast clouds
127,Klaksvik,62.2266,-6.589,36.52,60,80,35.99,FO,broken clouds
128,Daye,30.0833,114.95,35.02,100,100,2.37,CN,snow
129,Edson,53.5835,-116.4356,46.54,42,0,14.97,CA,clear sky
130,Solnechnyy,50.7214,136.6319,-3.06,99,99,1.99,RU,overcast clouds
131,Igarka,67.4667,86.5833,-13.41,100,87,7.07,RU,overcast clouds
132,Mehamn,71.0357,27.8492,20.14,88,35,15.77,NO,scattered clouds
133,Beringovskiy,63.05,179.3167,-17.84,98,40,8.19,RU,scattered clouds
134,Along,28.1667,94.7667,48.49,96,68,0.92,IN,broken clouds
135,Saskylakh,71.9167,114.0833,-23.96,100,97,1.5,RU,overcast clouds
136,Bengkulu,-3.8004,102.2655,76.42,86,100,8.41,ID,light rain
137,Port Hedland,-20.3167,118.5667,84.25,89,4,9.22,AU,clear sky
138,Bathsheba,13.2167,-59.5167,84.81,61,40,20.71,BB,scattered clouds
139,Bull Savanna,17.8868,-77.5902,80.01,42,0,6.85,JM,clear sky
140,Bulgan,48.8125,103.5347,-1.53,86,19,4.0,MN,few clouds
141,Marabba,12.35,32.1833,73.81,13,3,15.39,SD,clear sky
142,Merauke,-8.4667,140.3333,81.12,81,100,8.05,ID,overcast clouds
143,Ekhabi,53.5102,142.9671,0.88,93,100,22.06,RU,overcast clouds
144,Wanganui,-39.9333,175.05,59.74,84,100,15.99,NZ,overcast clouds
145,Avera,33.194,-82.5271,48.7,43,70,10.51,US,broken clouds
146,Thompson,55.7435,-97.8558,-11.04,64,20,4.61,CA,few clouds
147,Port Elizabeth,-33.918,25.5701,78.1,94,40,16.11,ZA,thunderstorm with light rain
148,Mount Isa,-20.7333,139.5,74.97,73,100,6.91,AU,overcast clouds
149,Santo Antonio Do Monte,-20.0872,-45.2936,67.71,95,100,5.59,BR,overcast clouds
150,Dali,25.7,100.1833,36.68,88,4,5.73,CN,clear sky
151,Sungaipenuh,-2.0833,101.3833,62.42,90,100,1.03,ID,light rain
152,Upernavik,72.7868,-56.1549,-12.93,96,100,6.17,GL,overcast clouds
153,Kudat,6.8837,116.8477,78.73,89,20,4.61,MY,few clouds
154,Ilulissat,69.2167,-51.1,1.42,55,100,6.91,GL,overcast clouds
155,Port Hardy,50.6996,-127.4199,46.76,81,100,14.97,CA,overcast clouds
156,Salvador,13.8333,-88.9167,86.4,32,6,2.37,SV,clear sky
157,Darhan,49.4867,105.9228,-3.35,92,23,6.17,MN,few clouds
158,Inhambane,-23.865,35.3833,78.78,89,40,13.8,MZ,scattered clouds
159,Tacuarembo,-31.7333,-55.9833,77.56,30,73,15.03,UY,broken clouds
160,Codrington,-38.2667,141.9667,59.04,73,0,9.44,AU,clear sky
161,Cherskiy,68.75,161.3,-30.93,100,47,1.45,RU,scattered clouds
162,Sechura,-5.5569,-80.8222,82.54,54,86,10.96,PE,overcast clouds
163,Ankazoabo,-22.2833,44.5167,72.27,96,100,17.18,MG,moderate rain
164,Severo-Yeniseyskiy,60.3725,93.0408,6.28,98,100,0.47,RU,overcast clouds
165,Vondrozo,-22.8167,47.2833,70.81,98,100,6.49,MG,moderate rain
166,Filadelfia,39.9523,-75.1638,36.37,49,20,3.0,US,few clouds
167,Vardo,70.3705,31.1107,26.58,74,75,23.02,NO,broken clouds
168,Ushtobe,45.2514,77.9838,20.25,89,55,4.03,KZ,broken clouds
169,Gayny,60.3071,54.3241,19.9,88,100,9.13,RU,overcast clouds
170,Newark,40.7357,-74.1724,33.3,53,75,9.22,US,broken clouds
171,Bat Khela,34.6167,71.9714,49.17,64,99,4.03,PK,overcast clouds
172,Atikokan,48.7555,-91.6216,13.1,83,100,6.98,CA,overcast clouds
173,Tuktoyaktuk,69.4541,-133.0374,-22.0,76,100,18.41,CA,light snow
174,Nishihara,26.1842,127.7558,58.28,65,75,6.91,JP,broken clouds
175,Zhanaozen,43.3,52.8,30.34,73,62,7.07,KZ,broken clouds
176,Yellandu,17.6,80.3333,67.14,73,30,3.6,IN,scattered clouds
177,Vila Do Maio,15.1333,-23.2167,79.59,78,0,14.18,CV,clear sky
178,Madimba,-10.4,40.3333,79.88,81,51,6.89,TZ,broken clouds
179,Tromso,69.6496,18.957,30.22,64,0,19.57,NO,clear sky
180,Lerwick,60.1545,-1.1494,39.2,61,92,29.01,GB,overcast clouds
181,Kaitangata,-46.2817,169.8464,41.2,94,6,1.83,NZ,clear sky
