City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
576,Loa Janan,-0.583,117.095,73.58,98,100,1.34,ID,2022-02-05 19:45:35
577,Hobyo,5.3505,48.5268,75.99,70,3,11.01,SO,2022-02-05 19:41:08
578,Kaka,37.3482,59.6143,46.29,73,100,8.75,TM,2022-02-05 19:45:36
579,Tianpeng,30.9866,103.9393,39.67,93,100,5.41,CN,2022-02-05 19:45:36
580,Abu Kamal,34.4506,40.9171,51.12,58,5,8.46,SY,2022-02-05 19:45:37
581,Aiken,33.5835,-81.5998,52.88,38,0,12.66,US,2022-02-05 19:45:22
582,Grajau,-5.8194,-46.1386,81.64,87,97,3.18,BR,2022-02-05 19:45:31
583,Aketi,2.7388,23.7833,74.57,35,99,1.52,CD,2022-02-05 19:45:37
584,Ganzhou,28.8184,115.4327,40.57,81,100,5.57,CN,2022-02-05 19:41:25
585,Namibe,-15.1961,12.1522,73.72,69,100,11.36,AO,2022-02-05 19:45:38
586,Luang Prabang,19.8856,102.1347,64.36,99,100,1.5,LA,2022-02-05 19:45:38
587,Mutsu,41.2894,141.2169,24.01,72,67,12.68,JP,2022-02-05 19:45:38
